"id","title","questionText","questionDescription","required","useAllSteps","stepIds","useAllErrorCategories","errorCategories","rubricFailureType","answerOptionText","answerOptionScore","answerOptionRequiresJustification"
"a53f02b5-aef3-4333-82ba-d043d5f9fdb3","Prompt - MM dependence","Rate the MM dependence of the Prompt dimension.","NOTE: This error encompasses cases where a non-text input file can be referenced, but is not necessary to reference. E.g., the prompt requests a summary of an audio file, but a transcript of the audio file is also present in the environment. Since the purpose of this project is to assess the MM reasoning of trajectories, environments/prompts that enable the agent to complete the task without such reasoning are similar to ""Leaking the Solution"" errors on other projects. See the spec doc for examples. For all options except the last, apply the error category.","true","true","","false","[All] [All] [Fail - MM Dependence]","","The prompt does not require the agent to reference non-text input files in the environment; the explicit requests of the prompt can be completely fulfilled without any multimodal reasoning or processing.","2","true"
"","","","","","","","","","","The prompt, in the context of the environment, cannot be answered without referencing non-text files in the workspace.","5","false"
"8ef19177-41a8-4a29-938f-3060ceb01d5b","Prompt - Output file(s) name","Rate the Output file(s) name of the Prompt dimension.","The user must specify in the prompt the name that the model should assign to the output file, if the output is expected to be a file. See the spec doc for examples. For all options except the last, apply the error category.","true","true","","false","[All] [All] [Fail - Missing output filename]","","The prompt requested a file as output, but the filename was not specified.","2","true"
"","","","","","","","","","","The prompt requested a file as output and successfully specified the filename.","5","false"
"b11865d7-8d86-49bf-9883-d7df68aff8f7","Prompt - Feasibility With Tools
","Rate the Feasibility With Tools
 of the Prompt dimension.","The model has access to all tools available in openclaw and is able to create virtual environments and install any python library. So anything that can be solved using a python library running in a linux environment is fair game. See the spec doc for examples. For all options except the last, apply an error category.","true","true","","false","[All] [All] [Non-Fail - Feasibility with Tools]; [All] [All] [Fail - Feasibility with Tools]","","The primary request is impractical or impossible and can't be answered by the tools available or enabled for the task","2","true"
"","","","","","","","","","","One or more secondary requests are impractical or impossible and can't be answered by the tools available or enabled for the task","3","true"
"","","","","","","","","","","The requests are completely actionable by the tool framework","5","false"
"2e9232e5-1c19-4fe3-9006-e38717632dd0","Input Artifacts - Realism","Rate the Realism of the Input Artifacts dimension.","Tasks should match real-world use-cases and not look contrived or made up. Real user data is messy — IMG_0427.HEIC, duplicates, missing timestamps, blurry phone shots, scanned-skewed PDFs, mixed orientations. Tasks where input_files/ is a curated set of perfectly-cropped JPGs are contrived. See the spec doc for examples. For all options except the last, apply an error category.","true","true","","false","[All] [All] [Fail - Contrived Inputs]; [All] [All] [Non-Fail - Partially Contrived Inputs]","",">20% of the multimodal inputs for the task (or 1+ xlsx, docx, or pdf inputs) are highly unrealistic in the context of the prompt; They are highly artificial, overly curated, or otherwise ""too perfect"" to reflect a real-world use-case, and there is no reasonable explanation for this (e.g., curated & standardized MNIST handwriting samples are included alongside a prompt asking the agent to digitize notes)","2","true"
"","","","","","","","","","","The multimodal inputs for the task are slightly unrealistic in the context of the prompt, but it is possible that a real user may include inputs of similar quality or standardization. A reasonable explanation exists for why the inputs may seem unnatural, but actually are not (e.g., the user mentions they're analyzing a public dataset, and this premade dataset is among the inputs), OR <=20% of the multimodal inputs for the task are highly realistic in the context of the prompt.","3","true"
"","","","","","","","","","","The multimodal inputs for the task are plausible and realistic in the context of the prompt; A real user could reasonably have attached these same inputs.","5","false"
