Jurisdiction	Applies To	Personal_Data_Definition	Right_to_Access	Right_to_Delete	Opt-Out_of_Sale	Max_Civil_Penalty
GDPR	Controllers/processors processing EU data subjects' data; extraterritorial when offering goods/services to or monitoring EU subjects	Any information relating to an identified or identifiable natural person, including indirect identifiers	Yes (Art. 15)	Yes (Art. 17 right to erasure)	N/A (no sale concept; all disclosures need lawful basis under Art. 6)	Up to EUR 20 million or 4% of global annual turnover
Alabama	Entities holding sensitive PII of Alabama residents (breach statute only)	Name + SSN/DL/financial credential/medical/health info/username+password	No	No	No	$5,000/day capped at $500,000 per breach
Alaska	Information collectors holding PII of Alaska residents	Name + SSN/DL/financial credential/PIN	No	No	No	$500/resident capped at $50,000/breach; UDAP $25,000/practice
Arizona	Persons doing business in Arizona owning/maintaining PII (breach statute)	Name + SSN/DL/digital signature/financial credential/medical/biometric/credentials	No	No	No	$10,000/resident capped at $500,000/breach
Arkansas	Business entities owning/licencing PII of Arkansans	Name + SSN/DL/financial credential/medical/biometric	No	No	No	$10,000/violation under DTPA
California (CCPA/CPRA)	For-profit businesses meeting any of three thresholds ($25M revenue / 100,000 consumers / 50%+ data-sale revenue)	Information that identifies or could reasonably be linked to a consumer or household; includes inferences	Yes	Yes (with statutory exceptions)	Yes (sale and sharing); UOOM required	$7,500/intentional violation; $750/consumer PRA for breach
Colorado (CPA)	Controllers in Colorado meeting 100,000-consumer or 25,000-consumer+sale threshold	Information linked or reasonably linkable to an individual	Yes	Yes (including third-party data)	Yes; UOOM required since July 2024	$20,000/violation; $50,000 for elder violations; $500,000 series cap
Connecticut (CTDPA)	Controllers meeting 100,000-consumer or 25,000-consumer+sale threshold	Information linked or reasonably linkable to an individual	Yes	Yes	Yes; UOOM since Jan 2025	$5,000/wilful violation under CUTPA
Delaware (DPDPA)	Persons meeting 35,000-consumer or 10,000-consumer+20% sale threshold	Information linked or reasonably linkable to an individual	Yes	Yes	Yes	$10,000/wilful violation under DCFA
Florida (FDBR)	Controllers with $1B+ global revenue meeting platform criteria	Information linked or reasonably linkable to an individual	Yes	Yes	Yes	$50,000/violation; tripled for minors or sensitive data
Georgia	No omnibus law; UDAP and breach statute apply	Name + SSN/DL/financial credential	No	No	No	$5,000/violation under FBPA; breach cap $5,000
Hawaii	No omnibus law; DCCA enforces breach and UDAP	Name + SSN/DL/financial credential/password	No	No	No	$2,500/violation breach; $10,000/violation UDAP
Idaho	No omnibus law; ICPA enforces breach and UDAP	Name + SSN/DL/financial credential	No	No	No	$5,000/violation under ICPA
Illinois (BIPA + general)	BIPA: any private entity collecting biometric identifiers; PIPA: holders of Illinois resident PII	Biometric identifiers/info (BIPA); name + SSN/DL/financial credential/biometric/medical (PIPA)	Limited (BIPA notice)	BIPA retention/deletion required	Sale of biometrics prohibited under BIPA	BIPA $1,000/negligent or $5,000/intentional, plus fees; PIPA $50,000/violation
Indiana (ICDPA)	Persons meeting 100,000-consumer or 25,000+50% sale threshold	Information linked or reasonably linkable to an individual	Yes	Yes	Yes (monetary only)	$7,500/violation under DCSA
Iowa (ICDPA)	Persons meeting 100,000-consumer or 25,000+50% sale threshold	Information linked or reasonably linkable to an individual	Yes	Yes (consumer-provided only)	Yes (monetary only)	$7,500/violation
Kansas	No omnibus law; KCPA enforces	Name + SSN/DL/financial credential	No	No	No	$10,000/violation under KCPA
Kentucky (KCDPA)	Persons meeting 100,000-consumer or 25,000+50% sale threshold	Information linked or reasonably linkable to an individual	Yes	Yes	Yes	$7,500/violation
Louisiana	No omnibus law; LUTPA and breach statute apply	Name + SSN/DL/financial credential/biometric/passport/email credential	No	No	No	$5,000/violation under LUTPA; breach $5,000/violation
Maine	ISP statute opt-in; no general law; breach + UTPA	ISP customer personal information (broad)	No	No	Yes (ISPs only, with opt-in default)	$10,000/violation under UTPA
Maryland (MODPA)	Persons meeting 35,000-consumer or 10,000-consumer+20% sale threshold	Information linked or reasonably linkable to an individual	Yes	Yes	Yes; sensitive-data sale prohibited	$10,000/violation; $25,000 subsequent
Massachusetts	No omnibus law; WISP regulation imposes security duty; ch. 93A general enforcement	Name + SSN/DL/financial credential/biometric	No	No	No	$5,000/violation under ch. 93A; treble damages PRA
Michigan	No omnibus law; ITPA + MCPA	Name + SSN/DL/demand-deposit/financial credential/password	No	No	No	$25,000/persistent violation under MCPA
